"","."
"1","301-70--RDCT112--Rhinotermitidae--Schedorhinotermes-lamanianus--Congo-Afro-tropical--HHFCJCKE_152019_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"2","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_199230_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"3","230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical--AEOJKODN_86229_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"4","230-24--THAI31--Kalotermitidae--Glyptotermes-sp-3--Thailand-Oriental--JCPPJJKB_06132_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"5","230-24--THAI31--Kalotermitidae--Glyptotermes-sp-3--Thailand-Oriental--JCPPJJKB_30704_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"6","272-08--AUS117--Kalotermitidae--Cryptotermes-primus--Australia-Australia--FDEMHABG_119190_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"7","272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar--CIMHPALE_64328_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"8","301-45--G13-54--Rhinotermitidae--Dolichorhinotermes-longilabius--French-Guiana-Neo-tropical--IOFPAKOK_137387_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"9","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_36912_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"10","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_21062_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"11","301-82--THAI23--Rhinotermitidae--Parhinotermes-sp-A--Thailand-Oriental--ABCJDEHC_08162_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"12","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_60198_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"13","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_273957_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"14","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_80574_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"15","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_496042_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"16","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_09940_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"17","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_126290_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"18","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_126605_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
