"","."
"1","230-02--AUS109--Kalotermitidae--Kalotermitidae-sp-E--Australia-Australia--EKJACLFG_75287_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"2","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_135717_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"3","272-49--KE15-30--Kalotermitidae--Bifiditermes-mutubae--Kenya-Afro-tropical--PBBAJPLC_05432_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"4","301-49--G678-2--Kalotermitidae--Rugitermes-sp-A--French-Guiana-Neo-tropical--IFJMGIMC_13685_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"5","230-24--THAI31--Kalotermitidae--Glyptotermes-sp-3--Thailand-Oriental--JCPPJJKB_03789_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"6","272-96--THAI112--Kalotermitidae--Glyptotermes--Thailand-Oriental--IHGGMPML_01645_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"7","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_02025_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"8","272-71--MAL39--Kalotermitidae--Cryptotermes--Malaysia-Oriental--BFECDBHH_07095_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"9","272-97--THAI114--Kalotermitidae--Glyptotermes-sp-1--Thailand-Oriental--KMAIAPKH_00674_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"10","301-10--AUS102--Kalotermitidae--Kalotermitidae-sp-H--Australia-Australia--LHGJOAKM_57018_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"11","272-71--MAL39--Kalotermitidae--Cryptotermes--Malaysia-Oriental--BFECDBHH_29381_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"12","272-06--AUS110--Kalotermitidae--Cryptotermes-primus--Australia-Australia--HDJDNOEF_19740_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"13","272-08--AUS117--Kalotermitidae--Cryptotermes-primus--Australia-Australia--FDEMHABG_06363_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
