"","."
"1","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_206324_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"2","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_327994_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"3","230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical--AEOJKODN_29392_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"4","230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical--AEOJKODN_49784_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"5","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_33636_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"6","301-72--RDCT144--Macrotermitinae--Odontotermes-sp-D--Congo-Afro-tropical--PIOHDNCJ_155698_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"7","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_408197_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"8","301-63--NG90--Rhinotermitidae--Prorhinotermes-inopinatus--New-Guinea-Oceania--OFHFMJGH_392447_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"9","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_352054_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"10","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_563858_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"11","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_469778_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"12","230-22--RDCT165--Sphaerotermitinae--Sphaerotermes-sphaerothorax--Congo-Afro-tropical--NOBJMEMK_36113_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"13","230-22--RDCT165--Sphaerotermitinae--Sphaerotermes-sphaerothorax--Congo-Afro-tropical--NOBJMEMK_26975_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"14","230-22--RDCT165--Sphaerotermitinae--Sphaerotermes-sphaerothorax--Congo-Afro-tropical--NOBJMEMK_49416_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"15","230-22--RDCT165--Sphaerotermitinae--Sphaerotermes-sphaerothorax--Congo-Afro-tropical--NOBJMEMK_120412_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"16","230-22--RDCT165--Sphaerotermitinae--Sphaerotermes-sphaerothorax--Congo-Afro-tropical--NOBJMEMK_129120_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"17","272-59--MAD15-169--Microcerotermes--Microcerotermes-mad-sp-D--Madagascar-Madagascar--BCNOAGMG_37475_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"18","272-84--RDCT119--Microcerotermes--Microcerotermes-parvus--Congo-Afro-tropical--HFABNABN_157544_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"19","272-34--FG-ND02-39--Microcerotermes--Microcerotermes-sp-SC--French-Guiana-Neo-tropical--JCIBENDC_96949_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
