"","."
"1","229-01--HSRNA1--Archotermopsidae--Hodotermopsis-sjosdedti--China-Paleo-arctic--JPLABEBE_281181_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"2","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_566853_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"3","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_107303_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"4","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_430721_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"5","272-31--Chi15-131--Stylotermitidae--Stylotermes-sp--China-Paleo-arctic--CPIBGEHD_196044_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"6","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_45808_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"7","301-82--THAI23--Rhinotermitidae--Parhinotermes-sp-A--Thailand-Oriental--ABCJDEHC_31412_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"8","272-17--AUST14-12--Stolotermitidae--Stolotermes-victoriensis--Australia-Australia--AJCNDFLK_77883_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"9","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_313907_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"10","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_394353_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
