"","."
"1","229-08--Crypto--Cryptocercidae--Cryptocercus-punctulatus--Korea-Paleo-arctic--EFBOEOPL_128429_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"2","301-70--RDCT112--Rhinotermitidae--Schedorhinotermes-lamanianus--Congo-Afro-tropical--HHFCJCKE_432387_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"3","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_298327_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"4","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_152731_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"5","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_48509_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"6","230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical--AEOJKODN_23069_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"7","301-09--87--Rhinotermitidae--Coptotermes-elisae--New-Guinea-Oceania--JKACBIPN_99257_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"8","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_179804_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"9","272-94--TBRU825--Rhinotermitidae--Heterotermes--Brunei-Oriental--BCNCPPAD_420943_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"10","272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar--CIMHPALE_59811_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"11","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_69777_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"12","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_351274_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"13","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_47935_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"14","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_429341_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"15","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_235019_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"16","230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical--AEOJKODN_38078_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"17","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_02122_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"18","301-82--THAI23--Rhinotermitidae--Parhinotermes-sp-A--Thailand-Oriental--ABCJDEHC_03113_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"19","229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental--GINAPPOA_491296_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"20","272-94--TBRU825--Rhinotermitidae--Heterotermes--Brunei-Oriental--BCNCPPAD_317150_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"21","272-17--AUST14-12--Stolotermitidae--Stolotermes-victoriensis--Australia-Australia--AJCNDFLK_72692_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"22","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_136622_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"23","230-18--SING74--Kalotermitidae--Neotermes--Singapore-Oriental--CMPJFEBM_08803_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"24","272-51--M16--Kalotermitidae--Tauritermes--Argentina-Neo-tropical--KFAHJGMF_02024_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"25","272-08--AUS117--Kalotermitidae--Cryptotermes-primus--Australia-Australia--FDEMHABG_311775_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"26","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_33365_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"27","272-03--30--Rhinotermitidae--Parrhinotermes-browni--New-Guinea-Oceania--BFIFJDIC_317546_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"28","301-09--87--Rhinotermitidae--Coptotermes-elisae--New-Guinea-Oceania--JKACBIPN_315302_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"29","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_108023_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"30","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_07464_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"31","301-30--BDIT086--Macrotermitinae--Odontotermes-sp--Burundi-Afro-tropical--GKHMPODP_316010_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"32","272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar--CIMHPALE_123688_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"33","301-20--AUS-91--Kalotermitidae--Kalotermitidae-sp-C--Australia-Australia--DBMONEDN_79544_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"34","301-91--US17--Archotermopsidae--Zootermopsis-nevadensis--USA-Neo-arctic--GMAAMMJG_80061_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"35","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_38484_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"36","272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar--CIMHPALE_35070_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_1"
"37","301-20--AUS-91--Kalotermitidae--Kalotermitidae-sp-C--Australia-Australia--DBMONEDN_31446_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"38","272-96--THAI112--Kalotermitidae--Glyptotermes--Thailand-Oriental--IHGGMPML_189070_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
