"","."
"1","272-76--PORO-CHILI--Stolotermitidae--Porotermes-quadricollis--Chile-Neo-tropical--FCBHOLGP_303105_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"2","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_202537_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"3","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_44069_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"4","301-91--US17--Archotermopsidae--Zootermopsis-nevadensis--USA-Neo-arctic--GMAAMMJG_83841_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"5","301-63--NG90--Rhinotermitidae--Prorhinotermes-inopinatus--New-Guinea-Oceania--OFHFMJGH_424069_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"6","229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia--PPNPLOKA_27051_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"7","272-17--AUST14-12--Stolotermitidae--Stolotermes-victoriensis--Australia-Australia--AJCNDFLK_26846_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"8","301-70--RDCT112--Rhinotermitidae--Schedorhinotermes-lamanianus--Congo-Afro-tropical--HHFCJCKE_408945_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"9","301-30--BDIT086--Macrotermitinae--Odontotermes-sp--Burundi-Afro-tropical--GKHMPODP_330738_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"10","301-30--BDIT086--Macrotermitinae--Odontotermes-sp--Burundi-Afro-tropical--GKHMPODP_47786_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"11","272-20--BDIT108-2--Foraminitermitinae--Foraminitermes-rhinoceros--Burundi-Afro-tropical--JNNAMOGA_25836_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"12","272-20--BDIT108-2--Foraminitermitinae--Foraminitermes-rhinoceros--Burundi-Afro-tropical--JNNAMOGA_97764_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"13","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_299855_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"14","301-83--THAI037--Termitinae--Procapritermes-sp-1--Thailand-Oriental--EOGPNDEP_76029_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"15","301-91--US17--Archotermopsidae--Zootermopsis-nevadensis--USA-Neo-arctic--GMAAMMJG_104660_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"16","272-20--BDIT108-2--Foraminitermitinae--Foraminitermes-rhinoceros--Burundi-Afro-tropical--JNNAMOGA_58530_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"17","301-70--RDCT112--Rhinotermitidae--Schedorhinotermes-lamanianus--Congo-Afro-tropical--HHFCJCKE_415252_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"18","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_46985_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"19","272-08--AUS117--Kalotermitidae--Cryptotermes-primus--Australia-Australia--FDEMHABG_55919_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"20","272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar--CIMHPALE_55032_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"21","229-08--Crypto--Cryptocercidae--Cryptocercus-punctulatus--Korea-Paleo-arctic--EFBOEOPL_72613_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"22","301-09--87--Rhinotermitidae--Coptotermes-elisae--New-Guinea-Oceania--JKACBIPN_145978_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"23","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_39441_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"24","301-20--AUS-91--Kalotermitidae--Kalotermitidae-sp-C--Australia-Australia--DBMONEDN_48579_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"25","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_137298_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"26","301-63--NG90--Rhinotermitidae--Prorhinotermes-inopinatus--New-Guinea-Oceania--OFHFMJGH_108712_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"27","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_10238_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"28","272-76--PORO-CHILI--Stolotermitidae--Porotermes-quadricollis--Chile-Neo-tropical--FCBHOLGP_104536_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"29","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_15708_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"30","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_20062_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
"31","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_45879_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Peptostreptococcales_f__Anaerovoracaceae_1"
