"","."
"1","272-67--MAD15-85--Microcerotermes--Microcerotermes-mad-sp-A--Madagascar-Madagascar--FFCMJAEF_13550_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"2","272-86--RDCT180--Termitinae--Cephalotermes--Congo-Afro-tropical--MFLDAJAL_110814_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"3","230-09--BDIT072--Macrotermitinae--Macrotermes-subhyalinus--Burundi-Afro-tropical--IBHNEBAP_61448_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"4","GB_GCA_002293295_1_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_g__UBA946_s__UBA946sp002293295_termitegut_1"
"5","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_56926_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"6","301-36--BRA9--Syntermitinae--Rhynchotermes-nasutissimus--Brazil-Neo-tropical--OCFIEBIH_22113_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"7","301-34--BRA3--Syntermitinae--Cornitermes-cumulans--Brazil-Neo-tropical--GEIPMBLL_03046_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"8","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_30322_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"9","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_11397_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"10","301-44--G13-48--Nasutitermitinae--Constrictotermes-cavifrons--French-Guiana-Neo-tropical--COLCIDHM_23335_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"11","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_58189_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"12","301-40--G13-28--Termitinae--Planicapritermes-planiceps--French-Guiana-Neo-tropical--JHDBPCMP_44637_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"13","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_63891_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"14","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_104662_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"15","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_20813_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
