"","."
"1","301-17--AUS66--Microcerotermes--Microcerotermes-sp-E--Australia-Australia--MHPNFKFI_60807_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"2","301-24--BDIT094--Nasutitermitinae--Trinervitermes-sp--Burundi-Afro-tropical--PNDKBPLD_21172_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"3","230-13--THAI43--Nasutitermitinae--Nasutitermes-sp-3--Thailand-Oriental--GAHIMCHH_48274_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"4","301-54--G733--Nasutitermitinae--Nasutitermes-macrocephalus--French-Guiana-Neo-tropical--POHOEHOL_00445_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"5","272-104--TP114A--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--NHIGIODF_00109_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"6","272-75--PHI1--Microcerotermes--Microcerotermes--Philippines-Oriental--EFHMCDAH_00531_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"7","272-67--MAD15-85--Microcerotermes--Microcerotermes-mad-sp-A--Madagascar-Madagascar--FFCMJAEF_13707_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"8","272-70--MAL37--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--ILALFPAC_59397_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"9","301-11--AUS114--Microcerotermes--Microcerotermes-sp-H--Australia-Australia--EOGHOPED_44912_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"10","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_04716_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"11","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_13398_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"12","272-91--T614--Microcerotermes--Microcerotermes--Singapore-Oriental--ECJLCPLO_70915_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"13","301-11--AUS114--Microcerotermes--Microcerotermes-sp-H--Australia-Australia--EOGHOPED_03573_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"14","272-89--T2-IC--Microcerotermes--Microcerotermes-havilandi--Singapore-Oriental--OCBKEODD_03027_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"15","301-77--TBRU414--Microcerotermes--Microcerotermes-nr-havilandi--Brunei-Oriental--LEAPNMHI_06777_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"16","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_29504_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"17","272-93--TBRU711D--Termitinae--Orientotermes--Brunei-Oriental--OAMOGONE_11649_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"18","272-70--MAL37--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--ILALFPAC_08885_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"19","272-67--MAD15-85--Microcerotermes--Microcerotermes-mad-sp-A--Madagascar-Madagascar--FFCMJAEF_00685_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"20","272-75--PHI1--Microcerotermes--Microcerotermes--Philippines-Oriental--EFHMCDAH_32128_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"21","301-31--BRA11-2--Syntermitinae--Syntermes-grandis--Brazil-Neo-tropical--COEGPMDE_31696_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"22","301-31--BRA11-2--Syntermitinae--Syntermes-grandis--Brazil-Neo-tropical--COEGPMDE_99650_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"23","301-33--BRA29--Syntermitinae--Labiotermes-sp--Brazil-Neo-tropical--MBCIOBMA_18378_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"24","272-41--G13-45--Syntermitinae--Cyriliotermes-angulariceps--French-Guiana-Neo-tropical--BHJFCNEJ_17816_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"25","301-33--BRA29--Syntermitinae--Labiotermes-sp--Brazil-Neo-tropical--MBCIOBMA_11839_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"26","301-41--G13-32--Apicotermitinae--Anoplotermes-banksi--French-Guiana-Neo-tropical--GBOCAJFK_50181_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"27","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_65309_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"28","272-63--MAD15-5--Microcerotermes--Microcerotermes-mad-sp-E--Madagascar-Madagascar--LHGCDBLG_59393_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"29","301-77--TBRU414--Microcerotermes--Microcerotermes-nr-havilandi--Brunei-Oriental--LEAPNMHI_98147_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"30","301-41--G13-32--Apicotermitinae--Anoplotermes-banksi--French-Guiana-Neo-tropical--GBOCAJFK_07494_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"31","301-41--G13-32--Apicotermitinae--Anoplotermes-banksi--French-Guiana-Neo-tropical--GBOCAJFK_29539_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"32","301-44--G13-48--Nasutitermitinae--Constrictotermes-cavifrons--French-Guiana-Neo-tropical--COLCIDHM_12318_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"33","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_10324_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"34","301-32--BRA1--Nasutitermitinae--Constrictotermes-ciphergaster--Brazil-Neo-tropical--LLHKHKLA_54793_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"35","272-90--T414A--Apicotermitinae--Euhamitermes--Singapore-Oriental--JIEPLOBP_09963_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"36","301-89--THAI096--Termitinae--Termes-propinqus--Thailand-Oriental--IDNAGNDJ_01792_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"37","230-17--TBRU318a--Microcerotermes--Microcerotermes-nr-havilandi--Brunei-Oriental--MIEDJDJK_03422_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"38","272-95--TBRU912E--Microcerotermes--Microcerotermes-serrula--Brunei-Oriental--MIGHMNII_02420_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"39","301-40--G13-28--Termitinae--Planicapritermes-planiceps--French-Guiana-Neo-tropical--JHDBPCMP_219352_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"40","272-35--G13-105--Termitinae--Termes-fatalis--French-Guiana-Neo-tropical--GJDBPAOL_41183_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"41","230-20--BDIT069--Cubitermitinae--Cubitermes-nr-fulvus--Burundi-Afro-tropical--MJOAODNF_06841_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"42","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_14017_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"43","272-90--T414A--Apicotermitinae--Euhamitermes--Singapore-Oriental--JIEPLOBP_55501_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"44","272-90--T414A--Apicotermitinae--Euhamitermes--Singapore-Oriental--JIEPLOBP_14553_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"45","301-31--BRA11-2--Syntermitinae--Syntermes-grandis--Brazil-Neo-tropical--COEGPMDE_85862_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"46","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_08778_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"47","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_35233_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"48","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_51013_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_f__Ruminococcaceae_1"
"49","272-100--THAI54--Microcerotermes--Microcerotermes-crassus--Thailand-Oriental--COJKPCNP_19394_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"50","272-104--TP114A--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--NHIGIODF_23260_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"51","272-70--MAL37--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--ILALFPAC_01918_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
